Req_Header,Req_Line,Req_ID,Create_Date,Create_User,Create_Role,Create_Type,Create_Source,Release_DateTime,Release_User,Release_Role,Release_Type,Release_Source
,,"02a9abba-ca02-48c6-a77d-448d9a22bdd5","2019-01-09",USR01957,"Job System",,,"2019-01-13 12:27:00",COQB60,,,
,,"057f6784-3b2d-4e4a-b5a5-5d27e12fbbbc","2019-01-09",USR01851,"Job System",,,"2019-01-13 12:53:00",USR00504,,,
,,"0609f016-58e9-4d5e-8298-3d2c33fe6769","2019-01-16",ACQ04,"Job System",,,"2019-01-20 22:17:53",USR01450,,,
,,"07a5950c-fdf4-4cb0-a54c-4ade6d10414b","2019-01-07",USR00245,"Job System",,,"2019-01-11 13:10:00",USR00120,,,
,,"090ee711-f0ec-4a69-b202-e62e8a441812","2019-01-10",USR00193,"Job System",,,"2019-01-14 13:53:00",USR00224,,,
,,"0944dc9c-8755-4b00-ba53-0e5b9cfac2aa","2019-01-16",EST08,"Job System",,,"2019-01-20 12:44:00",USR00074,,,
,,"09a05e9c-5e99-4dd3-ba9a-dbf15ef0c125","2019-01-11",ACQ04,"Job System",,,"2019-01-15 13:23:00",SIN02,,,
,,"0ba2f612-64d2-4e2b-9ef2-fbf1c30a1ecc","2019-01-16",USR01851,"Job System",,,"2019-01-20 13:14:00",USR00880,,,
,,"142b8906-fa25-4b26-b810-c7731071f7b7","2019-01-15",USR00107,"Job System",,,"2019-01-19 14:08:00",USR00087,,,
,,"18992965-c8b2-4a70-b853-406b71c19853","2019-01-14",USR02135,"Job System",,,"2019-01-18 13:53:00",DST40,,,
,,"1dc3bf77-9607-4ca4-b916-e3ef89c5dd1c","2019-01-09",MKT102,"Job System",,,"2019-01-13 13:23:00",USR00224,,,
,,"1e0b6b12-da78-476a-9040-574b362ab205","2019-01-11",USR01851,"Job System",,,"2019-01-15 12:53:00",SIN02,,,
,,"1ef0ccf5-bf0e-4c2b-b14d-d41641f0a260","2019-01-02",USR01437,"Job System",,,"2019-01-06 12:23:00",USR00742,,,
,,"24211c72-85af-4ccf-9209-87c0c4f0d6f0","2019-01-10",USR01690,"Job System",,,"2019-01-14 14:08:00",FAR308,,,
,,"25b15212-72ec-4d8a-9e37-7675a88e591a","2019-01-07",USR01437,"Job System",,,"2019-01-11 12:38:00",USR00475,,,
,,"2a440462-7974-4f1e-ae50-8a9978776cd1","2019-01-10",USR00193,"Job System",,,"2019-01-14 12:38:00",DAM45,,,
,,"2cf7e5e4-449d-40d4-b710-3f8c647f5379","2019-01-09",robot-1,"Job System",,,"2019-01-13 12:09:00",USR00470,,,
